season,episode,title,date,genre,director,writers,stars,content
4,18,The Prestidigitation Approximation,"Thu, Mar 10, 2011","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",The technique Raj uses to shuffle the cards is called a Hindu Shuffle.
4,19,The Zarnecki Incursion,"Thu, Mar 31, 2011","Comedy, Romance",Peter Chakos,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco","In the opening scene, in which Sheldon discovers his account has been hacked, he says ""It is time to cry havoc and let slip the dogs of war!"" He's quoting Marcus Antonius in Shakespeare's Julius Caesar, who is preparing to strike back at Caesar's assassins, but he is more likely referring to the Klingon General Chang in Star Trek VI: The Undiscovered Country (1991) who used the same line. In addition, the 'bat'leth' that Sheldon brings to the bully's house is a typical Klingon weapon."
4,20,The Herb Garden Germination,"Thu, Apr 7, 2011","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","While playing Wii Sports archery, Sheldon is wearing purple and blue. These are the colors of the comic book version of the Avengers' resident archer Hawkeye."
4,21,The Agreement Dissection,"Thu, Apr 28, 2011","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The code Sheldon uses to activate the ""self destruct"" sequence on his laptop, 1-1-A-2-B, is the code used by Spock in Star Trek (1966): Let That Be Your Last Battlefield (1969). The layout of the program he is using for the countdown is similar to the designs of the computer screens seen first in 스타 트렉: 넥스트 제너레이션 (1987)."
4,22,The Wildebeest Implementation,"Thu, May 5, 2011",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","There are in fact several three-player chess variants. The type Sheldon designed has custom pieces (the Old Woman, the Grand Empress). These types of custom pieces are called ""fairy-pieces"" by chess aficionados."
4,23,The Engagement Reaction,"Thu, May 12, 2011","Comedy, Romance",Howard Murray,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","When Howard is talking to his mother about Bernadette while she is in the washroom, the pictures seen on the wall of Howard as a kid are real pictures of Simon Helberg as a child."
4,24,The Roommate Transmogrification,"Thu, May 19, 2011","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco","After the end of this season, the series was renewed for three more seasons. It marked the first time a TV series was renewed for more than one season at a time."
5,1,The Skank Reflex Analysis,"Thu, Sep 22, 2011",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco",Beverly's appearance was on a Skype screen since Christine Baranski was filming another series in New York.
5,2,The Infestation Hypothesis,"Thu, Sep 22, 2011","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","When Penny greets Sheldon at the door with the phrase, ""What's the word, hummingbird?"", she is repeating a line from the song ""The Telephone Hour"" from the musical Bye Bye Birdie (1963)."
5,3,The Pulled Groin Extrapolation,"Thu, Sep 29, 2011",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","Upon Sheldon's return from the model train store, Leonard asks him, ""Rough night, Casey Jones?"" Casey Jones was an American railroad engineer who worked for the Illinois Central Railroad until he was killed in a train collision. Leonard may have simply been referencing the '50s TV show Casey Jones (1957)."
5,4,The Wiggly Finger Catalyst,"Thu, Oct 6, 2011",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","Where most episodes take place over a few days, this one takes place over a month, as mentioned by Raj, and illustrated by how Sheldon managed to grow a mustache and Raj to learn sign language."
5,5,The Russian Rocket Reaction,"Thu, Oct 13, 2011","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco","There is a QR code on the side of the counter of the comic book shop. If you scan it, it will take you to the page of The Comic Center Of Pasadena."
5,6,The Rhinitis Revelation,"Thu, Oct 20, 2011","Comedy, Romance",Howard Murray,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",Sheldon's oft-repeated habit of offering a hot beverage to a distressed house guest is apparently something that his mother taught him.
5,7,The Good Guy Fluctuation,"Thu, Oct 27, 2011","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",The sketch that Leonard claims was drawn by Jim Lee was in fact drawn by the famous comic book artist at the show's request.
5,8,The Isolation Permutation,"Thu, Nov 3, 2011","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Amy's apartment door number is 314. This is the same number as Pi (3.14), and Albert Einstein's birthday (March 14)."
5,9,The Ornithophobia Diffusion,"Thu, Nov 10, 2011","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",Sheldon's encounter with an angry chicken that once chased him into a tree was mentioned before in The Jiminy Conjecture (2009) and The Cruciferous Vegetable Amplification (2010).
5,10,The Flaming Spittoon Acquisition,"Thu, Nov 17, 2011","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","If you look closely at Sheldon's Facebook page, his Facebook profile picture is the same one of him and the blue jay from the previous episode, The Ornithophobia Diffusion (2011)."
5,11,The Speckerman Recurrence,"Thu, Dec 8, 2011","Comedy, Romance",Anthony Rich,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Sheldon is watching Saul Perlmutter receiving his Nobel Prize live on television. The episode was indeed broadcast on 8th December 2011, the same day that Perlmutter did receive the Nobel Prize.The actual award ceremony is always held on December 10th."
5,12,The Shiny Trinket Maneuver,"Thu, Jan 12, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The jewelry store in this episode is named Frank and Sons. Frank and Sons is a giant comic book, toy and collectibles market open on Wednesdays and Saturdays in the City of Industry, just outside Los Angeles."
5,13,The Recombination Hypothesis,"Thu, Jan 19, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The game featured in this episode, ""Settlers of Catan"", is a real game, and the concept of ""wood for sheep"" has been a running joke among regular players of the game since its inception."
5,14,The Beta Test Initiation,"Thu, Jan 26, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco","During his reseach on flag information for his show ""Fun with Flags"", Sheldon finds out that during the 1936 Summer Olympics, Liechtenstein did come to the realization that its flag was identical to the flag of Haiti. Because of this finding, the government added the prince's crown to the canton. This change served two purposes, to signify Liechtenstein's position as a principality, and to ""distinguish"" its flag from Haiti's. This modified design was adopted on June 24, 1937."
5,15,The Friendship Contraction,"Thu, Feb 2, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Michael Massimino, a NASA astronaut, makes a cameo appearance."
5,16,The Vacation Solution,"Thu, Feb 9, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Sheldon claims Einstein failed math. This common belief is completely false. Einstein was doing differential calculus before the age of 10. Granted, he once said he could have taken his work further but he lacked the math; however, no other physicist had the math at that time."
5,17,The Rothman Disintegration,"Thu, Feb 16, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",None of the guys share any scenes with the girls in this episode.
5,18,The Werewolf Transformation,"Thu, Feb 23, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",Sheldon claims his hair grows at 4.6 yoctometers/femtosecond. That converts to 1.2 cm in 30 days which is consistent with normal hair growth rates.
5,19,The Weekend Vortex,"Thu, Mar 8, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Simon Helberg","Standing outside the door is the closest that Howard's mother has ever been to apartment 4A in the entire series. Up until now, only Sheldon's mother, Penny's father and Leonard's mother have been inside. Raj's parents have only seen the apartment through a video call and have not been physically inside."
5,20,The Transporter Malfunction,"Thu, Mar 29, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","This is the first time that Leonard Nimoy has been cast in the series. The producers of the show have been trying for many years to get Nimoy to appear on the show, which was difficult due to him having mostly retired from acting."
5,21,The Hawking Excitation,"Thu, Apr 5, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco",Stephen Hawking's original singularity theorems from the 1960s and '70s were written up on the whiteboards on set.
5,22,The Stag Convergence,"Thu, Apr 26, 2012","Comedy, Romance",Peter Chakos,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","When Leonard says that he is going to have sex with Penny in the laundry room, the sign that normally says ""Please keep your clothes on while doing laundry"" is conveniently obscured by detergent bottles."
5,23,The Launch Acceleration,"Thu, May 3, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steve Holland","Johnny Galecki, Jim Parsons, Kaley Cuoco","The gas Leonard brings to Penny is Sulfur Hexafluoride. It is 6 times denser than air, thus causing the 'Darth Vader' voice. It is an inert gas and safe to breathe in small quantities."
5,24,The Countdown Reflection,"Thu, May 10, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",The wedding was held on the roof of the Madison Luxury Apartments at 215 S. Madison St. in Pasadena.
6,1,The Date Night Variable,"Thu, Sep 27, 2012",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The scenes of Howard in space were accomplished by filming in a Space Station replica in Canoga Park, California. Only 20 feet of station were available, so over the course of this episode and the next, creative camera angles and framing made it look like there were many different sections. Weightlessness was created by supporting the actors on a very thin platform and have them simulate the effects of microgravity."
6,2,The Decoupling Fluctuation,"Thu, Oct 4, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Michael Massimino said in a supplementary featurette for the Season 6 DVD box set that any real teasing and pranking of another astronaut while in orbit would not have been mean-spirited due to the long training they would already have undergone together and the close quarters of the spacecraft and station necessitating good working relationships. He even recounted how he risked getting the nickname ""Crybaby"" over how he teared up while looking at Earth during a spacewalk, which could have shorted out something in his helmet and provoke an investigation in which he'd would have to admit to crying."
6,3,The Higgs Boson Observation,"Thu, Oct 11, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","Sheldon tells Penny that Higgs was on track for winning the Nobel. On December 10, 2013 Higgs was awarded the Nobel prize in physics for the Higgs boson discovery."
6,4,The Re-Entry Minimization,"Thu, Oct 18, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","This is the third time in which Mayim Bialik's broken right hand from a real-life accident had to be hidden. When Penny is taunting Sheldon about losing Pictionary and Leonard points out it's a well-rounded game, Amy can be seen placing the box on the table, revealing her right hand laying weirdly dead on the couch, one finger is jarred in a way that makes it look like it's made of rubber."
6,5,The Holographic Excitation,"Thu, Oct 25, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Howard makes a point of how everyone's tired of him bragging about being in space by doing a perfect imitation of Bernadette, to which she responds (in a lower tone than usual) ""I don't sound like that."" Melissa Rauch uses her actual voice when saying this line."
6,6,The Extract Obliteration,"Thu, Nov 1, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",Kunal Nayyar again displays his ear for accents when he perfectly mimics an American accent while discussing prank calling call centers in India.
6,7,The Habitation Configuration,"Thu, Nov 8, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","When Sheldon goes to Wil Wheaton's home, his house number (1701) is visible. 1701 is the number in the registry for the U.S.S. Enterprise-D (NCC-1701-D) in 스타 트렉: 넥스트 제너레이션 (1987) in which Wheaton appeared."
6,8,The 43 Peculiarity,"Thu, Nov 15, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","It was after the taping of this episode had wrapped that the cast and crew performed a flash mob to surprise the producers. The flash mob was choreographed by Kaley Cuoco's sister, Bri. At first the cast pretended to not know what was going on, but quickly joined in the dance, with the exception of Jim Parsons; who at the request of Kaley, stayed in character through the whole thing and once everything settled down, uttered his trademark word, ""Bazinga!""."
6,9,The Parking Spot Escalation,"Thu, Nov 29, 2012",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","During Bernadette and Amy's initial argument, when Penny says, ""Damn!"", it wasn't scripted."
6,10,The Fish Guts Displacement,"Thu, Dec 6, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The scene in which Sheldon spanks Amy, Jim Parsons and Mayim Bialik both had a very difficult time staying in character, and several takes were ruined with them bursting out in laughter."
6,11,The Santa Simulation,"Thu, Dec 13, 2012","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Leonard recounts his early Christmas experiences where he had to leave Santa Claus a research paper, which would then be graded. This is consistent with his account in The Maternal Congruence (2009), where during Christmas, everybody had to write research papers on the anthropological and psychological implications on human society, after which they broke off into focus groups and critiqued each other."
6,12,The Egg Salad Equivalency,"Thu, Jan 3, 2013","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",First appearance of Janine Davis from Human Resources (Regina King).
6,13,The Bakersfield Expedition,"Thu, Jan 10, 2013","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The four state capitals not served by the interstate highway system are: Juneau, AK; Dover, DE; Jefferson City, MO; and Pierre, SD."
6,14,The Cooper/Kripke Inversion,"Thu, Jan 31, 2013",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",Sheldon tells Kripke he doesn't want to end up in a MAD Magazine. The Big Bang Theory (2007) has been advertised on the back cover of some recent copies of that magazine.
6,15,The Spoiler Alert Segmentation,"Thu, Feb 7, 2013","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",The second time there is a glimpse of Howard's mother. The first was an overhead shot of her in a pink outfit in Season 5's The Countdown Reflection (2012).
6,16,The Tangible Affection Proof,"Thu, Feb 14, 2013","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The girl who played Penny's ex-boyfriend's girlfriend was Kaley Cuoco's younger sister Briana Cuoco, who choreographed the Big Bang flash dance performed for the studio audience as is available on YouTube."
6,17,The Monster Isolation,"Thu, Feb 21, 2013",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Penny demonstrates her acting skills for the second time, the first being a hemorrhoid commercial in Season 5's The Skank Reflex Analysis (2011)."
6,18,The Contractual Obligation Implementation,"Thu, Mar 7, 2013",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Leonard mentions ""professional women using their initials so as not to be prejudged (S. Smith instead of Samantha Smith)"", and Sheldon names J.K. Rowling and Star Trek's D.C. Fontana as examples. Dorothy Fontana was a very prolific writer on several Star Trek series, but when she began writing for Star Trek (1966), creator Gene Roddenberry indeed advised her to submit screenplays using her initials ""D.C."", as networks and studio executives in the 1960s were generally very biased against women writing science-fiction. The real Fontana had actually made a cameo appearance in The Russian Rocket Reaction (2011). Harry Potter author Joanne Rowling was asked by her publisher to use initials, out of fear that the target audience of young boys might be put off by books written by a woman. Even in later years, when Fontana and Rowling became well-known and established writers, they often kept using their better-known initials rather than their full name."
6,19,The Closet Reconfiguration,"Thu, Mar 14, 2013",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",The first time in which only the main characters of the show appear and no extra actors are used.
6,20,The Tenure Turbulence,"Thu, Apr 4, 2013","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steve Holland","Johnny Galecki, Jim Parsons, Kaley Cuoco",Sheldon and Leonard have the 5 book set of 'Modernist Cuisine' on their fridge. The books explain a new scientific approach to cooking.
6,21,The Closure Alternative,"Thu, Apr 25, 2013","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The photograph that Raj has on his office wall behind his chair, the one with the two orange rings, is the Hourglass Planetary Nebula taken in 1995 by the Hubble Space Telescope."
6,22,The Proton Resurgence,"Thu, May 2, 2013","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","This was Bob Newhart's first appearance in what became a recurring role as Professor Proton. Series creator Chuck Lorre had wanted Newhart to appear in one of his shows for years and finally suggested The Big Bang Theory (2007) to him. Newhart agreed, as long as it was a recurring role and the episodes would be taped live."
6,23,The Love Spell Potential,"Thu, May 9, 2013","Comedy, Romance",Anthony Rich,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Simon Helberg (Howard) really does all those impersonations (Al Pacino, Nicolas Cage, Christopher Walken) himself and has done several others throughout the series. These impressions were specifically set up for Helberg because doing imitations used to be part of his comedy act."
6,24,The Bon Voyage Reaction,"Thu, May 16, 2013","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","When Sheldon clinks on his glass and says ""B-flat for those who don't have perfect pitch"", the note produced by him clinking on his glass is indeed a B-flat."
7,1,The Hofstadter Insufficiency,"Thu, Sep 26, 2013","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco",Sheldon's red T-shirt bears the emblem of Ralph Hinkley's Greatest American Hero costume.
7,2,The Deception Verification,"Thu, Sep 26, 2013","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",There is a Bernadette doll in the bookcase behind her in the apartment wearing the same outfit she is wearing in the scene.
7,3,The Scavenger Vortex,"Thu, Oct 3, 2013","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","While riding with Howard, Amy looks through his MP3 player and makes fun of him for listening to 'Weird Al' Yankovic. Contrarily, Mayim Bialik is actually a huge Weird Al fan. (This clip has been used during ""Weird Al"" concerts.)"
7,4,The Raiders Minimization,"Thu, Oct 10, 2013","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Sheldon says that Garfield has no reason to hate Mondays because he is a cat, and thus doesn't work. Actually, writer Jim Davis himself once stated that Garfield's life is basically the same from day to day, but for some reason, a disproportionate amount of misfortune and bad luck seems to occur on Mondays. Garfield hates them because it is when he realizes that his life is an empty cycle of repeating days, and the Mondays are just a bit more awful than the rest. There is also a popular fan theory that Garfield hates Mondays because that is when Jon, his owner, goes to work; therefore, this is his way of saying, without actually saying it, that he loves Jon."
7,5,The Workplace Proximity,"Thu, Oct 17, 2013","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco","During the argument between Howard and Bernadette, the apartment flag on the refrigerator is seen upside down, indicating that the apartment is in distress."
7,6,The Romance Resonance,"Thu, Oct 24, 2013","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","This episode premiered just five days after the fourth anniversary of Melissa Rauch's first appearance as Bernadette Rostenkowski, thus the anniversary of her and Howard's first date."
7,7,The Proton Displacement,"Thu, Nov 7, 2013","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Arthur Jeffries tells Leonard that if he'd known people would still be calling him Professor Proton at the age of eighty-three, he would never have given up smoking. Bob Newhart, who plays Dr. Jeffries, was a heavy smoker for years, until he was ordered by doctors to stop in 1985."
7,8,The Itchy Brain Simulation,"Thu, Nov 14, 2013","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco","Sheldon's statement that unresolved issues are like an itch in his brain that he cannot scratch would explain a lot about his obsessive compulsive need for closure seen throughout the series, and described in The Closure Alternative (2013)."
7,9,The Thanksgiving Decoupling,"Thu, Nov 21, 2013","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The Thanksgiving Day football game Mike and Sheldon discuss (where Mike wanted to shoot his TV and Sheldon's dad did) was the 1993 game between the Dallas Cowboys and the Miami Dolphins. In that game, which was played in a rare snowstorm in Dallas, the Dolphins squibbed their attempt at a game-winning field goal, leaving the ball spinning on the ground with members of the Cowboys surrounding it waiting for it to stop in order to declare it dead. However, Leon Lett ran up to try to grab it, but slipped and inadvertently batted the ball away, which made it a live ball again. The Dolphins recovered, tried the field goal again, and were successful, winning the game."
7,10,The Discovery Dissipation,"Thu, Dec 5, 2013","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",First physical appearance of Ira Flatow on the show. His voice was heard on The Vengeance Formulation (2009) while he was also interviewing Sheldon.
7,11,The Cooper Extraction,"Thu, Dec 12, 2013","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco",The episode won an Emmy Award for Outstanding Multi-Camera Picture Editing for a Comedy Series.
7,12,The Hesitation Ramification,"Thu, Jan 2, 2014","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",The mall security guard is played by Marcus Folmar. He is the same actor who played the cop that pulls Howard over in Season 10 Episode 1.
7,13,The Occupation Recalibration,"Thu, Jan 9, 2014","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","When Howard and Raj talk about girls who have rejected them, Howard refers to Marcy Grossman. She was mentioned in The Killer Robot Instability (2009) as the girl to whom he sang 'My Girl' with her name in the lyrics during a school talent show, but she simply approached him afterwards and spit in his hair."
7,14,The Convention Conundrum,"Thu, Jan 30, 2014","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Carrie Fisher and James Earl Jones, who played Princess Leia and Darth Vader in Star Wars respectively, had never met in real life before this episode, even though they play major characters in the original Star Wars movies. James Earl Jones would always be in a sound booth providing the voice of Darth Vader, and Carrie Fisher would be on set with David Prowse, who provided the physical acting of Darth Vader. This is paralleled in their scene together in this episode where we see Carrie Fisher on-screen , but only hear the voice of James Earl Jones, who is off-screen. The first time they met, Fisher yelled ""DAD!"" to Jones, a reference to Darth Vader being the father of Princess Leia."
7,15,The Locomotive Manipulation,"Thu, Feb 6, 2014","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The second time that Leonard and Penny suggest making out on Sheldon's spot on the couch but don't end up doing it. First time was in The Pirate Solution (2009), when Howard interrupted them."
7,16,The Table Polarization,"Thu, Feb 27, 2014","Comedy, Romance",Gay Linvill,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","A MAC computer is always sitting on the desk (although never used) where Leonard wants to place the dining room table. It was removed, and replaced with an older system so Sheldon could go back to Windows 98."
7,17,The Friendship Turbulence,"Thu, Mar 6, 2014","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco",The original reason for Sheldon's ongoing insults to Howard is finally revealed.
7,18,The Mommy Observation,"Thu, Mar 13, 2014","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","At the murder mystery party, the cast is each wearing one of the classic Clue character colors: Raj is Mrs. White (off) white, Penny is Mrs. Peacock blue, Leonard is Miss Scarlet red, Bernadette is Colonel Mustard yellow, Amy is Professor Plum purple, and Stuart is Mr/Rev Green green."
7,19,The Indecision Amalgamation,"Thu, Apr 3, 2014","Comedy, Romance",Anthony Rich,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","While Penny and Leonard are reading the script for the movie Penny has been offered, ""Ape-Ist 2: Monkey See, Monkey Kill,"" the front cover of the script is seen, with the screenplay author shown. The name of the screenplay author is Vince Gilligan, who in real life was the writer/producer of both Breaking Bad (2008) and The X Files (1993)."
7,20,The Relationship Diremption,"Thu, Apr 10, 2014","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco","In the first season episode The Jerusalem Duality (2008), Dennis Kim already predicted that string theory was a dead end, and that Sheldon would eventually see it as well. It took Sheldon an additional six years to come to the same conclusion."
7,21,The Anything Can Happen Recurrence,"Thu, Apr 24, 2014","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","Sheldon is considering dark matter as his next field of study. He already did some research on the topic in The Pirate Solution (2009) when he hired Raj to help him with it, although this was mostly done to prevent Raj from being fired and possibly deported."
