,상호,전화번호,주소,상표,부가정보,고급휘발유,보통휘발유,경유,,실내등유,구,세차장,24시영업
166,대성산업(주)신창주유소,02-905-4441,서울 도봉구 덕릉로 267 (창동),GS칼텍스,"세차장, 24시영업",0.0,1675.0,1535.0,,0.0,도봉구,O,O
167,오복주유소,02-3494-1500,서울 도봉구 방학로 43,S-OIL,세차장,2300.0,1735.0,1595.0,,1700.0,도봉구,O,X
168,HD현대오일뱅크㈜직영 영신주유소,02-956-5152,서울 도봉구 방학로 151,HD현대오일뱅크,세차장,2107.0,1797.0,1667.0,,1440.0,도봉구,O,X
169,(주)자연에너지 국민주유소,02-2216-7155,서울 동대문구 답십리로 223 (답십리동),HD현대오일뱅크,,1889.0,1625.0,1497.0,,0.0,동대문구,X,X
170,재정제2주유소,02-2249-6682,서울 동대문구 사가정로 90 (전농동),HD현대오일뱅크,세차장,0.0,1645.0,1517.0,,0.0,동대문구,O,X
171,(주)정건에너지 배봉로지점,02-2242-0556,서울 동대문구 서울시립대로 108,HD현대오일뱅크,세차장,0.0,1645.0,1517.0,,1450.0,동대문구,O,X
172,재정주유소,070-8256-4617,서울 동대문구 전농로 121,HD현대오일뱅크,세차장,1889.0,1645.0,1517.0,,0.0,동대문구,O,X
173,풍한주유소,02-924-5189,서울 동대문구 안암로 168,SK에너지,"세차장, 24시영업",0.0,1655.0,1525.0,,0.0,동대문구,O,O
174,대성산업(주)동마장주유소,02-966-5451,서울 동대문구 고산자로 405 (용두동),GS칼텍스,"세차장, 경정비, 24시영업",1885.0,1675.0,1545.0,,0.0,동대문구,O,O
175,(주)안국에너지 삼원셀프주유소,02-2244-1972,서울 동대문구 망우로 90 (휘경동),SK에너지,세차장,0.0,1728.0,1588.0,,1540.0,동대문구,O,X
176,동서울고속주유소,02-969-1144,서울 동대문구 한천로 414,SK에너지,,1879.0,1745.0,1595.0,,0.0,동대문구,X,X
177,삼미상사(주)장안킹셀프주유소,02-2242-7115,서울 동대문구 한천로 100 (장안동),SK에너지,세차장,0.0,1749.0,1609.0,,0.0,동대문구,O,X
178,열린주유소,02-2215-6543,서울 동대문구 한천로 263 (휘경동),S-OIL,,0.0,1749.0,1599.0,,0.0,동대문구,X,X
179,삼영주유소,02-2217-2018,서울 동대문구 답십리로 258 (장안동),SK에너지,세차장,0.0,1755.0,1615.0,,1700.0,동대문구,O,X
180,홍능주유소,02-966-9190,서울 동대문구 홍릉로 87,S-OIL,세차장,0.0,1755.0,1615.0,,1500.0,동대문구,O,X
181,HD현대오일뱅크㈜직영 스피드주유소,02-2216-5151,서울 동대문구 천호대로 453 (장안동),HD현대오일뱅크,"세차장, 24시영업",1844.0,1759.0,1629.0,,0.0,동대문구,O,O
182,한영주유소 (한화),02-2214-9890,서울 동대문구 망우로 38 (휘경동),HD현대오일뱅크,,0.0,1797.0,1698.0,,0.0,동대문구,X,X
183,오동나무주유소,02-2247-5132,서울 동대문구 한천로 81,S-OIL,,0.0,1798.0,1658.0,,1600.0,동대문구,X,X
184,주식회사 새서울글로벌,02-832-7926,서울 동작구 시흥대로 616 (신대방동),HD현대오일뱅크,"세차장, 24시영업",1895.0,1658.0,1518.0,,0.0,동작구,O,O
185,지에스칼텍스(주) 대방주유소,02-826-5145,서울 동작구 여의대방로 214,GS칼텍스,,1879.0,1679.0,1559.0,,1450.0,동작구,X,X
186,창원이엔지주유소,02-825-5151,서울 동작구 사당로 59 (상도동),HD현대오일뱅크,세차장,0.0,1689.0,1579.0,,0.0,동작구,O,X
187,HD현대오일뱅크㈜직영 사당셀프주유소,02-521-3618,서울 동작구 동작대로 73 (사당동),HD현대오일뱅크,"세차장, 24시영업",2029.0,1724.0,1619.0,,0.0,동작구,O,O
188,지에스칼텍스㈜직영 남성주유소,02-532-0606,서울 동작구 동작대로 135,GS칼텍스,24시영업,1925.0,1725.0,1615.0,,0.0,동작구,X,O
189,HD현대오일뱅크㈜직영 동작주유소,02-817-9179,서울 동작구 상도로 403 (상도동),HD현대오일뱅크,세차장,1934.0,1754.0,1639.0,,0.0,동작구,O,X
190,HD현대오일뱅크㈜직영 흑석동셀프주유소,02-815-0724,서울 동작구 현충로 101 (흑석동),HD현대오일뱅크,"세차장, 24시영업",1899.0,1764.0,1649.0,,0.0,동작구,O,O
191,매일주유소,02-817-4085,서울 동작구 상도로 139 (상도동),S-OIL,세차장,0.0,1799.0,1679.0,,1650.0,동작구,O,X
192,살피재주유소,02-817-2559,서울 동작구 상도로 334,SK에너지,,0.0,1895.0,1785.0,,0.0,동작구,X,X
193,(주)타이거통상 월드컵주유소,070-4121-0021,서울 마포구 월드컵북로 170 (성산제2동),S-OIL,,1879.0,1649.0,1529.0,,0.0,마포구,X,X
194,청원주유소,02-325-5533,서울 마포구 월드컵북로 113 (성산동),HD현대오일뱅크,세차장,1978.0,1659.0,1569.0,,0.0,마포구,O,X
195,성산대교셀프주유소,02-323-0078,서울 마포구 성산로 144,HD현대오일뱅크,"세차장, 경정비",0.0,1659.0,1569.0,,1649.0,마포구,O,X
196,마포시엠주유소,02-338-9447,서울 마포구 월드컵북로 62,SK에너지,,0.0,1659.0,1539.0,,0.0,마포구,X,X
197,(주)안국에너지 망원동주유소,02-334-0917,서울 마포구 월드컵로 119 (망원동),SK에너지,세차장,0.0,1758.0,1628.0,,0.0,마포구,O,X
198,에쓰오일(주) 염리동주유소,02-3272-5155,서울 마포구 백범로 126 (염리동),S-OIL,세차장,0.0,1779.0,1669.0,,0.0,마포구,O,X
199,용강주유소,070-7795-4800,서울 마포구 토정로 258,S-OIL,,0.0,1779.0,1669.0,,1650.0,마포구,X,X
200,마포주유소,02-711-5189,서울 마포구 마포대로 186,S-OIL,세차장,1942.0,1792.0,1682.0,,0.0,마포구,O,X
201,(주)만성상사 대흥주유소,02-3273-5151,서울 마포구 대흥로 61 (대흥동),SK에너지,"세차장, 24시영업",2199.0,1799.0,1689.0,,1745.0,마포구,O,O
202,에스에스오토셀프,02-336-5185,서울 마포구 서강로 76 (창전동),HD현대오일뱅크,"세차장, 24시영업",2098.0,1799.0,1689.0,,0.0,마포구,O,O
203,SK에너지 양지주유소,02-706-8955,서울 마포구 마포대로 69 (도화동),SK에너지,"편의점, 24시영업",1929.0,1825.0,1725.0,,0.0,마포구,X,O
204,SK에너지(주) 안국주유소,02-3144-1197,서울 마포구 양화로 33,SK에너지,24시영업,1929.0,1829.0,1729.0,,0.0,마포구,X,O
205,(주)미래아스팔트 신우주유소,02-304-5522,서울 서대문구 가좌로 106(홍은동),S-OIL,"세차장, 경정비",0.0,1659.0,1549.0,,0.0,서대문구,O,X
206,(주)가재울뉴타운주유소,070-8879-7864,서울 서대문구 모래내로 205,HD현대오일뱅크,편의점,0.0,1659.0,1549.0,,0.0,서대문구,X,X
207,(주)창원이엔지 홍제지점,02-379-0753,서울 서대문구 통일로 455 (홍제동),HD현대오일뱅크,,0.0,1665.0,1549.0,,1800.0,서대문구,X,X
208,지에스칼텍스(주)홍제동주유소,02-736-3708,서울 서대문구 통일로 372,GS칼텍스,세차장,1915.0,1665.0,1549.0,,0.0,서대문구,O,X
209,㈜한화미 구도일주유소 두꺼비,02-336-0611,서울 서대문구 성산로 312,S-OIL,"세차장, 경정비",1899.0,1669.0,1569.0,,0.0,서대문구,O,X
210,HD현대오일뱅크㈜직영 연세주유소,02-337-8220,서울 서대문구 연희로 184,HD현대오일뱅크,세차장,1889.0,1674.0,1589.0,,0.0,서대문구,O,X
211,남정주유소,02-305-9828,서울 서대문구 모래내로 243 (남가좌동),GS칼텍스,,0.0,1678.0,1568.0,,0.0,서대문구,X,X
212,(주)안국에너지 삼보셀프주유소,02-336-6151,서울 서대문구 연희로 78 (연희동),SK에너지,"세차장, 경정비",1898.0,1698.0,1579.0,,0.0,서대문구,O,X
213,중앙에너비스 동교지점,070-8707-4568,서울 서대문구 연희로 12 (창천동),SK에너지,편의점,1998.0,1718.0,1598.0,,0.0,서대문구,X,X
214,행촌제2주유소,02-365-5189,서울 서대문구 성산로 490 (대신동),SK에너지,"세차장, 편의점, 24시영업",1947.0,1728.0,1579.0,,0.0,서대문구,O,O
215,㈜우남에너지 문화사랑주유소,02-395-4300,서울 서대문구 세검정로 87,S-OIL,세차장,0.0,1739.0,1659.0,,1650.0,서대문구,O,X
216,연희주유소,02-338-8045,서울 서대문구 연희로 129 (연희동 89-7번지),SK에너지,"세차장, 편의점",1995.0,1745.0,1635.0,,0.0,서대문구,O,X
217,광호주유소,02-395-7236,서울 서대문구 연희로 266 (홍은동),SK에너지,세차장,0.0,1745.0,1635.0,,0.0,서대문구,O,X
218,만남의광장주유소,02-573-7430,서울 서초구 양재대로12길 73-71,알뜰(ex),"충전소, 편의점, 24시영업",0.0,1654.0,1509.0,,0.0,서초구,X,O
219,씨앤에스유통㈜ 내곡드림주유소,02-2058-3224,서울 서초구 헌릉로 177 (내곡동),S-OIL,세차장,1885.0,1685.0,1565.0,,1580.0,서초구,O,X
220,(주)대농석유 남태령주유소,02-587-0895,서울 서초구 과천대로 838 (방배동),SK에너지,세차장,0.0,1695.0,1595.0,,0.0,서초구,O,X
221,HD현대오일뱅크㈜직영 사평로주유소,02-3481-2513,서울 서초구 사평대로 350 (서초동),HD현대오일뱅크,세차장,1889.0,1698.0,1649.0,,0.0,서초구,O,X
222,에너지 플러스 허브 내곡,02-3461-5145,서울 서초구 헌릉로 210,GS칼텍스,"세차장, 충전소, 24시영업",1899.0,1699.0,1569.0,,0.0,서초구,O,O
223,양재최고주유소,02-2057-5189,서울 서초구 매헌로 72 (양재동),S-OIL,세차장,0.0,1714.0,1584.0,,0.0,서초구,O,X
224,말죽거리주유소,02-579-9933,서울 서초구 남부순환로 2650,GS칼텍스,,1899.0,1716.0,1636.0,,0.0,서초구,X,X
225,(주)한미석유 서초주유소,02-582-5198,서울 서초구 반포대로 64 (서초동),GS칼텍스,,1945.0,1725.0,1595.0,,0.0,서초구,X,X
226,지에스칼텍스(주)선천주유소,02-592-4915,서울 서초구 동작대로 206 (방배동),GS칼텍스,세차장,1925.0,1725.0,1615.0,,0.0,서초구,O,X
227,에너지플러스허브 삼방주유소,02-536-5145,서울 서초구 사평대로 364 (서초동),GS칼텍스,"세차장, 24시영업",1928.0,1728.0,1659.0,,0.0,서초구,O,O
228,서초꽃마을주유소,02-523-5551,서울 서초구 반포대로 69 (서초동),GS칼텍스,,1955.0,1735.0,1605.0,,0.0,서초구,X,X
229,대성산업(주)직영 강남주유소,02-594-5987,서울 서초구 반포대로 284 (반포동),GS칼텍스,,1935.0,1735.0,1625.0,,0.0,서초구,X,X
230,극동유화(주) 전당앞주유소,02-6080-0516,서울 서초구 남부순환로 2391 (서초동),S-OIL,"세차장, 충전소, 경정비",1955.0,1735.0,1575.0,,0.0,서초구,O,X
231,한독주유소,02-3477-6127,서울 서초구 방배로 218 (방배동),GS칼텍스,,1980.0,1735.0,1645.0,,0.0,서초구,X,X
232,신반포주유소,02-533-5151,서울 서초구 사평대로 94 (반포동),SK에너지,"세차장, 24시영업",1980.0,1735.0,1645.0,,0.0,서초구,O,O
233,반포그린주유소,02-532-5147,서울 서초구 서초중앙로 239,GS칼텍스,세차장,1938.0,1738.0,1669.0,,0.0,서초구,O,X
234,대성석유(주)연일주유소,02-3471-5151,서울 서초구 남부순환로 2451,GS칼텍스,"세차장, 편의점",1956.0,1739.0,1625.0,,1600.0,서초구,O,X
235,태봉셀프주유소,02-571-8000,서울 서초구 태봉로 117 (우면동),SK에너지,"세차장, 경정비",0.0,1743.0,1637.0,,0.0,서초구,O,X
236,에쓰오일(주)직영 오토테크주유소,02-585-5189,서울특별시 서초구 효령로 356 (서초동),S-OIL,"세차장, 경정비",1966.0,1746.0,1655.0,,0.0,서초구,O,X
237,HD현대오일뱅크㈜직영 팔레스주유소,02-720-0020,서울 서초구 사평대로 136 (반포동),HD현대오일뱅크,24시영업,1874.0,1755.0,1656.0,,0.0,서초구,X,O
238,대성산업(주)직영 터미널(고속)주유소,02-535-3001,서울 서초구 신반포로 222 (반포동),GS칼텍스,"세차장, 24시영업",1955.0,1755.0,1655.0,,1650.0,서초구,O,O
239,양재주유소,02-577-1621,서울 서초구 바우뫼로 178,SK에너지,"세차장, 24시영업",1914.0,1756.0,1654.0,,0.0,서초구,O,O
240,HD현대오일뱅크㈜직영 방배현대주유소,02-534-0051,서울 서초구 동작대로 182 (방배동),HD현대오일뱅크,"세차장, 경정비",1928.0,1773.0,1653.0,,1620.0,서초구,O,X
241,HD현대오일뱅크㈜직영 양재현대주유소,02-579-8429,서울 서초구 마방로 6,HD현대오일뱅크,세차장,1934.0,1776.0,1674.0,,1570.0,서초구,O,X
242,대신석유(주)대우주유소,02-572-0567,서울 서초구 양재대로 173 (양재동),SK에너지,"세차장, 편의점, 24시영업",1917.0,1777.0,1677.0,,0.0,서초구,O,O
243,서초우면산주유소,02-577-5151,서울 서초구 양재대로2길 100-30,S-OIL,세차장,1978.0,1778.0,1642.0,,0.0,서초구,O,X
244,HD현대오일뱅크㈜직영 서초제일주유소,02-587-6080,서울 서초구 사임당로 116,HD현대오일뱅크,세차장,1959.0,1782.0,1678.0,,0.0,서초구,O,X
245,지에스칼텍스(주)남서울주유소,02-542-1517,서울 서초구 나루터로 83 (잠원동),GS칼텍스,"세차장, 편의점, 24시영업",2020.0,1820.0,1789.0,,0.0,서초구,O,O
246,방배동주유소,02-584-2086,서울 서초구 효령로 29,SK에너지,세차장,0.0,1893.0,1796.0,,0.0,서초구,O,X
247,대신석유㈜서원주유소,02-599-3657,서울 서초구 반포대로 142 (서초동),SK에너지,세차장,2168.0,2068.0,1968.0,,0.0,서초구,O,X
248,(주)선문에너지 중앙주유소,02-575-5110,서울특별시 서초구 바우뫼로 219 (양재1동),HD현대오일뱅크,세차장,2468.0,2258.0,1998.0,,1780.0,서초구,O,X
249,㈜성동에너지,02-3394-7003,서울 성동구 천호대로 392,HD현대오일뱅크,세차장,1820.0,1605.0,1477.0,,0.0,성동구,O,X
250,(주)서울에너지 직영,02-3390-4338,서울 성동구 천호대로 324 (용답동),S-OIL,"세차장, 24시영업",0.0,1605.0,1477.0,,0.0,성동구,O,O
251,정호주유소,02-2297-9442,서울 성동구 고산자로 307 (마장동),자가상표,,0.0,1668.0,1558.0,,0.0,성동구,X,X
252,SK에너지(주) 군자동주유소,02-2244-4945,서울특별시 성동구 천호대로 446 (용답동),SK에너지,"세차장, 24시영업",1819.0,1669.0,1549.0,,0.0,성동구,O,O
253,KLP제2주유소,02-465-5182,서울 성동구 동일로 249 (송정동),HD현대오일뱅크,,0.0,1675.0,1545.0,,0.0,성동구,X,X
254,HD현대오일뱅크㈜직영 효진주유소,02-464-7252,서울 성동구 동일로 129,HD현대오일뱅크,"세차장, 24시영업",1955.0,1678.0,1572.0,,0.0,성동구,O,O
255,동일주유소,02-461-7100,서울 성동구 광나루로 254 (성수동2가),GS칼텍스,"세차장, 경정비",1882.0,1682.0,1573.0,,0.0,성동구,O,X
256,지에스칼텍스㈜ 도루코주유소,02-463-6919,서울 성동구 아차산로 180,GS칼텍스,"세차장, 경정비, 24시영업",1933.0,1683.0,1573.0,,1744.0,성동구,O,O
257,KH에너지㈜직영 성수만세주유소,02-499-8223,서울 성동구 왕십리로 109,SK에너지,세차장,1933.0,1683.0,1573.0,,0.0,성동구,O,X
258,아이콘주유소,02-2291-5189,서울 성동구 고산자로 273 (도선동),S-OIL,"세차장, 24시영업",1898.0,1708.0,1578.0,,0.0,성동구,O,O
259,HD현대오일뱅크㈜직영 성동셀프주유소,02-2299-7333,서울 성동구 마장로 311 (마장동),HD현대오일뱅크,세차장,1945.0,1757.0,1597.0,,0.0,성동구,O,X
260,SK에너지(주) 성수주유소,02-467-7240,서울 성동구 뚝섬로 352,SK에너지,세차장,1929.0,1779.0,1679.0,,0.0,성동구,O,X
261,SK세원2주유소,02-462-5665,서울 성동구 광나루로 184,SK에너지,"세차장, 경정비",2060.0,1785.0,1670.0,,0.0,성동구,O,X
262,금호주유소,02-2297-0066,서울 성동구 금호로 39 (금호동4가),GS칼텍스,세차장,2235.0,1995.0,1863.0,,1700.0,성동구,O,X
263,청계로주유소,02-2294-4225,서울 성동구 청계천로 454 (하왕십리동),SK에너지,세차장,0.0,2195.0,2095.0,,1795.0,성동구,O,X
264,(주)옥수하이웨이스테이션,02-2282-5151,서울 성동구 독서당로 168 (옥수동),GS칼텍스,,2521.0,2268.0,2077.0,,0.0,성동구,X,X
265,이케이에너지(주) 강산제2주유소,02-942-1448,서울 성북구 보국문로 52,HD현대오일뱅크,세차장,1849.0,1635.0,1515.0,,0.0,성북구,O,X
266,이케이에너지㈜ 강산주유소,02-953-1448,서울 성북구 보문로 27 (보문동7가),GS칼텍스,"세차장, 24시영업",0.0,1635.0,1515.0,,1380.0,성북구,O,O
267,㈜원천주유소,070-4063-1057,서울 성북구 돌곶이로 142,GS칼텍스,,0.0,1643.0,1523.0,,0.0,성북구,X,X
268,(주)삼표에너지 정릉주유소,02-914-6556,서울 성북구 보국문로 35 (정릉동),GS칼텍스,"세차장, 경정비",1849.0,1645.0,1525.0,,1500.0,성북구,O,X
269,신방주유소,02-922-5151,서울 성북구 안암로 111 (안암동5가),S-OIL,,0.0,1645.0,1525.0,,0.0,성북구,X,X
270,㈜스마일에너지 신동방주유소,02-918-5151,서울 성북구 월계로 84 (장위동),S-OIL,,1915.0,1645.0,1525.0,,0.0,성북구,X,X
271,(주)성북주유소,02-928-4900,서울 성북구 보문로 142,HD현대오일뱅크,세차장,0.0,1645.0,1525.0,,0.0,성북구,O,X
272,장삼 쌍둥이 주유소,02-909-0314,서울 성북구 한천로 612 (장위동),HD현대오일뱅크,세차장,0.0,1645.0,1535.0,,0.0,성북구,O,X
273,중앙에너비스 종암지점,070-8707-4565,서울 성북구 종암로 58,SK에너지,"세차장, 24시영업",0.0,1655.0,1525.0,,0.0,성북구,O,O
274,HD현대오일뱅크㈜직영 고대셀프주유소,02-912-5151,서울 성북구 종암로 12 (종암동),HD현대오일뱅크,세차장,1879.0,1655.0,1535.0,,0.0,성북구,O,X
275,지에스칼텍스(주) 종암주유소,02-921-7785,서울 성북구 종암로 145 (종암동),GS칼텍스,"세차장, 24시영업",1905.0,1655.0,1525.0,,0.0,성북구,O,O
276,HD현대오일뱅크㈜직영 북악셀프주유소,02-911-5189,서울 성북구 정릉로 218 (정릉동),HD현대오일뱅크,세차장,1889.0,1665.0,1545.0,,0.0,성북구,O,X
277,장위주유소,02-6498-5189,서울 성북구 화랑로 110 (하월곡동),S-OIL,"세차장, 24시영업",0.0,1674.0,1544.0,,0.0,성북구,O,O
278,SK에너지(주) 드림랜드주유소,02-916-9906,서울 성북구 월계로 128 (장위동),SK에너지,,1882.0,1675.0,1544.0,,1520.0,성북구,X,X
279,우리주유소,02-969-5185,서울 성북구 화랑로 292,SK에너지,"세차장, 경정비, 24시영업",0.0,1684.0,1555.0,,0.0,성북구,O,O
280,동일주유소,02-923-8484,서울특별시 성북구 보문로 85 (보문동5가),S-OIL,세차장,1989.0,1693.0,1598.0,,0.0,성북구,O,X
281,㈜명연에너지 효성주유소,02-942-5150,서울 성북구 화랑로 27,GS칼텍스,"세차장, 24시영업",1985.0,1695.0,1565.0,,0.0,성북구,O,O
282,(주)신용 구도일주유소화랑로,02-963-0051,서울 성북구 화랑로 174,S-OIL,"세차장, 경정비",1963.0,1723.0,1583.0,,1470.0,성북구,O,X
283,지에스칼텍스㈜ 화랑주유소,02-942-5152,서울 성북구 화랑로 185,GS칼텍스,,0.0,1739.0,1619.0,,1526.0,성북구,X,X
284,HD현대오일뱅크㈜직영 아리랑주유소,02-941-5189,서울 성북구 아리랑로 96,HD현대오일뱅크,세차장,2015.0,1785.0,1655.0,,0.0,성북구,O,X
285,삼선주유소,02-766-5105,서울 성북구 창경궁로 324,S-OIL,세차장,2050.0,1798.0,1684.0,,0.0,성북구,O,X
286,아이에스피시그넷㈜ 서울북부고속주유소,02-980-1311,서울 성북구 삼양로 78,HD현대오일뱅크,,0.0,1899.0,1699.0,,0.0,성북구,X,X
287,지에스칼텍스㈜ 세창주유소,02-988-2491,서울 성북구 동소문로 323,GS칼텍스,,2191.0,1935.0,1809.0,,1546.0,성북구,X,X
288,한강에너지(주)퍼스트주유소,02-422-2834,서울 송파구 삼학사로 22 (석촌동),SK에너지,"세차장, 경정비, 24시영업",1893.0,1693.0,1573.0,,0.0,송파구,O,O
289,송파스마일주유소,02-2203-3737,서울 송파구 송이로 28,GS칼텍스,경정비,1893.0,1693.0,1573.0,,0.0,송파구,X,X
290,㈜지에스이앤알 송파제일주유소,02-424-2900,서울 송파구 삼학사로 50 (석촌동),HD현대오일뱅크,"세차장, 경정비, 24시영업",0.0,1693.0,1573.0,,0.0,송파구,O,O
291,삼화주유소,02-2203-2280,서울 송파구 백제고분로 125,GS칼텍스,24시영업,1903.0,1703.0,1583.0,,0.0,송파구,X,O
292,(주)삼표에너지 아시아주유소,02-416-1911,서울 송파구 도곡로 438 (잠실동),GS칼텍스,세차장,1903.0,1703.0,1583.0,,0.0,송파구,O,X
293,HD현대오일뱅크㈜직영 잠실셀프주유소,02-417-7111,서울 송파구 송파대로 397,HD현대오일뱅크,24시영업,1898.0,1713.0,1583.0,,1560.0,송파구,X,O
294,(주)신화에너지 서울지점,02-2202-8484,서울 송파구 가락로 47 (석촌동),SK에너지,"세차장, 경정비, 24시영업",0.0,1713.0,1593.0,,0.0,송파구,O,O
295,(주)잠실에너지,02-414-5010,서울 송파구 송파대로 442 (송파동),S-OIL,"세차장, 경정비, 24시영업",1893.0,1713.0,1613.0,,0.0,송파구,O,O
296,상아주유소,02-409-8251,서울 송파구 거마로 82,S-OIL,세차장,0.0,1715.0,1588.0,,1450.0,송파구,O,X
297,지에스칼텍스(주)가든파이브주유소,02-409-5145,서울 송파구 탄천동로 740,GS칼텍스,"세차장, 24시영업",1923.0,1723.0,1593.0,,0.0,송파구,O,O
298,위례드림주유소,02-404-5189,서울시 송파구 위례중앙로 10,S-OIL,"세차장, 24시영업",1923.0,1723.0,1593.0,,0.0,송파구,O,O
299,위례제일주유소 (주)버드에너지,02-408-9951,서울 송파구 위례서로 260,S-OIL,세차장,0.0,1723.0,1593.0,,0.0,송파구,O,X
300,지에스칼텍스(주)스마트위례주유소,02-409-5185,서울 송파구 위례중앙로 43 (장지동),GS칼텍스,세차장,1923.0,1723.0,1593.0,,0.0,송파구,O,X
301,남성대주유소,02-409-2211,서울 송파구 송파대로 52 (장지동),SK에너지,"세차장, 경정비, 24시영업",0.0,1723.0,1593.0,,1600.0,송파구,O,O
302,(주)삼표에너지 훼미리주유소,02-448-9252,서울 송파구 중대로 58,GS칼텍스,세차장,1923.0,1723.0,1613.0,,1500.0,송파구,O,X
303,(주)정직한주유소,02-406-4634,서울 송파구 오금로 455 (거여동),HD현대오일뱅크,세차장,1895.0,1725.0,1615.0,,0.0,송파구,O,X
304,(주)퍼스트오일서울주유소,02-407-0708,서울 송파구 문정로 153,S-OIL,,0.0,1730.0,1630.0,,1550.0,송파구,X,X
305,제트라인DM주유소,02-430-5151,서울 송파구 중대로 183 (가락동),HD현대오일뱅크,경정비,0.0,1734.0,1630.0,,0.0,송파구,X,X
306,대성주유소,02-431-1991,서울 송파구 마천로 230,SK에너지,세차장,0.0,1738.0,1628.0,,1450.0,송파구,O,X
307,완불주유소,02-3402-2900,서울 송파구 송파대로 3,SK에너지,"세차장, 24시영업",1982.0,1741.0,1626.0,,0.0,송파구,O,O
308,(주)삼표에너지 우리주유소,02-3401-1588,서울 송파구 동남로 153,GS칼텍스,세차장,1922.0,1742.0,1638.0,,1500.0,송파구,O,X
309,(주)유진주유소,02-406-3956,서울 송파구 동남로 325 (오금동),SK에너지,세차장,0.0,1742.0,1644.0,,0.0,송파구,O,X
310,대성석유(주)석촌주유소,02-421-0051,서울 송파구 백제고분로 289,GS칼텍스,경정비,1958.0,1757.0,1657.0,,1550.0,송파구,X,X
311,방이주유소,02-424-3051,서울 송파구 위례성대로12길 38 (방이동),SK에너지,"세차장, 경정비",0.0,1787.0,1637.0,,0.0,송파구,O,X
312,백제고분로주유소,02-2202-4050,서울 송파구 오금로 143 (방이동),SK에너지,"세차장, 경정비, 편의점, 24시영업",1893.0,1787.0,1674.0,,0.0,송파구,O,O
313,HD현대오일뱅크㈜직영 올림픽셀프주유소,02-448-9804,서울 송파구 위례성대로 188 (오금동),HD현대오일뱅크,"세차장, 경정비, 24시영업",1929.0,1789.0,1679.0,,0.0,송파구,O,O
314,(유)호림플러스홀딩스 남성주유소,02-423-5128,서울 송파구 백제고분로 474,HD현대오일뱅크,세차장,0.0,1793.0,1683.0,,0.0,송파구,O,X
315,대신석유(주)진양주유소,02-477-1906,서울 송파구 올림픽로 499 (풍납동),SK에너지,세차장,2068.0,1968.0,1868.0,,0.0,송파구,O,X
316,현대주유소,02-2608-9231,서울 양천구 남부순환로 372 (신월동),S-OIL,세차장,0.0,1624.0,1499.0,,0.0,양천구,O,X
317,양천구주유소,02-2644-5105,서울 양천구 국회대로 275,HD현대오일뱅크,"세차장, 경정비, 24시영업",0.0,1634.0,1537.0,,0.0,양천구,O,O
318,개나리Self주유소,02-2606-5189,서울 양천구 남부순환로 442 (신월동),SK에너지,"세차장, 경정비",0.0,1634.0,1509.0,,0.0,양천구,O,X
319,현대오일뱅크(주)직영 양천셀프주유소,02-2644-5185,서울 양천구 목동로 17,HD현대오일뱅크,세차장,1869.0,1637.0,1571.0,,0.0,양천구,O,X
320,플라트(주)서호주유소,02-2602-5172,서울 양천구 남부순환로 317,GS칼텍스,"세차장, 경정비",1965.0,1638.0,1513.0,,0.0,양천구,O,X
321,HD현대오일뱅크㈜직영 남부순환셀프주유소,02-2690-5001,서울 양천구 남부순환로 553 (신월동),HD현대오일뱅크,"세차장, 편의점, 24시영업",1965.0,1638.0,1530.0,,0.0,양천구,O,O
322,신월주유소,02-2603-5182,서울 양천구 신월로 193 (신월동),GS칼텍스,,0.0,1638.0,1513.0,,1400.0,양천구,X,X
323,(주)타이거오일 신정주유소,02-2646-6212,서울 양천구 중앙로 226 (신정동),SK에너지,,0.0,1644.0,1529.0,,0.0,양천구,X,X
324,㈜지에스이앤알 서울주유소,02-2607-9478,서울 양천구 신정로 236 (신정동),GS칼텍스,세차장,0.0,1646.0,1508.0,,0.0,양천구,O,X
325,가로공원주유소,02-2695-3423,서울 양천구 가로공원로 165 (신월동),SK에너지,"세차장, 24시영업",0.0,1662.0,1535.0,,0.0,양천구,O,O
326,삼미상사(주)신월IC셀프주유소,02-2694-4966,서울 양천구 중앙로 331 (신월동),SK에너지,경정비,0.0,1664.0,1549.0,,0.0,양천구,X,X
327,형산석유(주)원주유소,02-2690-5837,서울 양천구 남부순환로 408,HD현대오일뱅크,"세차장, 경정비",1975.0,1689.0,1559.0,,0.0,양천구,O,X
328,SK에너지(주) 경인주유소,02-2693-4994,서울 양천구 국회대로 170 (신정동),SK에너지,세차장,0.0,1696.0,1570.0,,1550.0,양천구,O,X
329,현대오일뱅크(주)직영 양정주유소,02-2691-5185,서울 양천구 국회대로 158 (신정동),HD현대오일뱅크,,0.0,1696.0,1567.0,,0.0,양천구,X,X
330,신정동주유소,02-2651-5189,서울 양천구 안양천로 663 (신정동),HD현대오일뱅크,"세차장, 편의점",0.0,1699.0,1579.0,,0.0,양천구,O,X
331,(주)삼표에너지 목동주유소,02-2654-5153,서울 양천구 목동서로 129 (목동),GS칼텍스,세차장,1903.0,1704.0,1597.0,,0.0,양천구,O,X
332,지에스칼텍스㈜ 건지주유소,02-2061-5108,서울 양천구 안양천로 1171 (목동),GS칼텍스,"세차장, 충전소",1904.0,1704.0,1597.0,,1588.0,양천구,O,X
